35235006934.742294,198699408.1975282,32674092576.81792,-20551686999.198734,33577844949.817314,-33343848369.61277,117304036695.79263
34901976570.6169,207556613.90678424,29835483739.32749,65431149330.317154,6672854478.741861,-24194194769.394436,111792420385.7006
24050924564.61214,2594022856.4096203,27827959773.24087,-287024900870.9762,-119271845547.89256,-46972816624.523026,195132501727.04178
34162698030.768124,-1819095828.702817,22764203971.01873,-84877155691.49384,11026752644.23382,8868781442.769106,-476345318575.2321
26570509515.89178,11373678.13424978,26403501712.76255,9996140197.16749,-37980958616.939804,-25975516923.441704,414312836389.01556
24570075697.262856,-1319547177.458832,22057486979.966908,205100974850.6904,-22447020349.584137,-25188378873.703285,-410988349084.225
31967425908.344234,327974946.0706469,31779822542.51169,55664847141.16874,10630456225.386553,97687414534.59857,648176702518.036
26732268460.028114,141590698.84867266,22836018468.35843,40444606870.40287,25803624752.283752,-23988401435.34701,440747825793.0152
52157860189.23137,950208570.3898394,52097271149.94465,-38343641116.203064,1608241306.3073769,377543573.87942445,828773107.2025739
22651670753.902267,265534864.41130817,7454172730.843901,17560388344.786358,42036615359.41273,-5291007901.9865675,-117272159008.72319
49322731734.767456,-97218877.04886916,52288387293.92312,192165010619.87717,80544119843.70686,119307864527.89264,206603788913.9649
27783044245.987938,-1058302182.2265997,20204032814.258976,-253956572279.7177,-7355196077.310223,-87890988807.74033,308962677936.5745
